Variable Name,Description,Data Type,Non-Null Count,Sample Values
_DUALCOR,DUAL PHONE USE CORRECTION FACTOR,float64,275651,"[0.6141246821308681, 0.6141246821308681, 0.6141246821308681]"
_LLCPWT,FINAL WEIGHT: LAND-LINE AND CELL-PHONE DATA,float64,441456,"[341.38485273395895, 108.06090325480395, 255.26479650234717]"
_RFHLTH,ADULTS WITH GOOD OR BETTER HEALTH,float64,441456,"[2.0, 1.0, 2.0]"
_HCVU651,RESPONDENTS AGED 18-64 WITH HEALTH CARE COVERAGE,float64,441456,"[1.0, 2.0, 9.0]"
_RFHYPE5,HIGH BLOOD PRESSURE CALCULATED VARIABLE,float64,441456,"[2.0, 1.0, 1.0]"
_CHOLCHK,CHOLESTEROL CHECKED CALCULATED VARIABLE,float64,441456,"[1.0, 2.0, 1.0]"
_RFCHOL,HIGH CHOLESTEROL CALCULATED VARIABLE,float64,382302,"[2.0, 1.0, 2.0]"
_MICHD,RESPONDENTS THAT HAVE EVER REPORTED HAVING CORONARY HEART DISEASE (CHD) OR MYOCARDIAL INFARCTION (MI),float64,437514,"[2.0, 2.0, 2.0]"
_LTASTH1,LIFETIME ASTHMA CALCULATED VARIABLE,float64,441456,"[2.0, 1.0, 1.0]"
_CASTHM1,CURRENT ASTHMA CALCULATED VARIABLE,float64,441456,"[2.0, 1.0, 1.0]"
_ASTHMS1,COMPUTED ASTHMA STATUS,float64,441456,"[1.0, 3.0, 3.0]"
_DRDXAR1,RESPONDENTS DIAGNOSED WITH ARTHRITIS,float64,438657,"[1.0, 2.0, 1.0]"
_PRACE1,COMPUTED PREFERRED RACE,float64,441456,"[1.0, 1.0, 1.0]"
_MRACE1,CALCULATED NON-HISPANIC RACE INCLUDING MULTIRACIAL,float64,441456,"[1.0, 1.0, 1.0]"
_HISPANC,"HISPANIC, LATINO/A, OR SPANISH ORIGIN CALCULATED VARIABLE",float64,441456,"[2.0, 2.0, 2.0]"
_RACE,COMPUTED RACE-ETHNICITY GROUPING,float64,441456,"[1.0, 1.0, 1.0]"
_RACEG21,COMPUTED NON-HISPANIC WHITES/ALL OTHERS RACE CATEGORIES RACE/ETHNIC GROUP CODES USED IN POST-STRATIFICATION.,float64,441456,"[1.0, 1.0, 1.0]"
_RACEGR3,COMPUTED FIVE LEVEL RACE/ETHNICITY CATEGORY.,float64,441456,"[1.0, 1.0, 1.0]"
_RACE_G1,COMPUTED RACE GROUPS USED FOR INTERNET PREVALENCE TABLES,float64,434019,"[1.0, 1.0, 1.0]"
_AGEG5YR,REPORTED AGE IN FIVE-YEAR AGE CATEGORIES CALCULATED VARIABLE,float64,441456,"[9.0, 7.0, 11.0]"
_AGE65YR,REPORTED AGE IN TWO AGE GROUPS CALCULATED VARIABLE,float64,441456,"[1.0, 1.0, 2.0]"
_AGE80,IMPUTED AGE VALUE COLLAPSED ABOVE 80,float64,441456,"[63.0, 52.0, 71.0]"
_AGE_G,IMPUTED AGE IN SIX GROUPS,float64,441456,"[5.0, 4.0, 6.0]"
HTIN4,COMPUTED HEIGHT IN INCHES,float64,424196,"[70.0, 68.0, 71.0]"
HTM4,COMPUTED HEIGHT IN METERS,float64,426024,"[178.0, 173.0, 180.0]"
WTKG3,COMPUTED WEIGHT IN KILOGRAMS,float64,410535,"[12701.0, 7484.0, 7167.0]"
_BMI5,COMPUTED BODY MASS INDEX,float64,405058,"[4018.0, 2509.0, 2204.0]"
_BMI5CAT,COMPUTED BODY MASS INDEX CATEGORIES,float64,405058,"[4.0, 3.0, 2.0]"
_RFBMI5,OVERWEIGHT OR OBESE CALCULATED VARIABLE,float64,441456,"[2.0, 2.0, 1.0]"
_CHLDCNT,COMPUTED NUMBER OF CHILDREN IN HOUSEHOLD,float64,441456,"[1.0, 1.0, 1.0]"
_EDUCAG,COMPUTED LEVEL OF EDUCATION COMPLETED CATEGORIES,float64,441456,"[2.0, 4.0, 2.0]"
_INCOMG,COMPUTED INCOME CATEGORIES,float64,441456,"[2.0, 1.0, 9.0]"
_SMOKER3,COMPUTED SMOKING STATUS,float64,441456,"[3.0, 1.0, 9.0]"
_RFSMOK3,CURRENT SMOKING CALCULATED VARIABLE,float64,441456,"[1.0, 2.0, 9.0]"
DRNKANY5,DRINK ANY ALCOHOLIC BEVERAGES IN PAST 30 DAYS,float64,441456,"[2.0, 2.0, 9.0]"
DROCDY3_,COMPUTED DRINK-OCCASIONS-PER-DAY,float64,441456,"[0.0, 0.0, 900.0]"
_RFBING5,BINGE DRINKING CALCULATED VARIABLE,float64,441456,"[1.0, 1.0, 9.0]"
_DRNKWEK,COMPUTED NUMBER OF DRINKS OF ALCOHOL BEVERAGES PER WEEK,float64,441456,"[0.0, 0.0, 99900.0]"
_RFDRHV5,HEAVY ALCOHOL CONSUMPTION  CALCULATED VARIABLE,float64,441456,"[1.0, 1.0, 9.0]"
FTJUDA1_,COMPUTED FRUIT JUICE INTAKE IN TIMES PER DAY,float64,402921,"[17.0, 7.0, 0.0]"
FRUTDA1_,COMPUTED FRUIT INTAKE IN TIMES PER DAY,float64,404874,"[33.0, 17.0, 100.0]"
BEANDAY_,COMPUTED BEAN INTAKE IN TIMES PER DAY,float64,401509,"[67.0, 7.0, 0.0]"
GRENDAY_,COMPUTED DARK GREEN VEGETABLE INTAKE IN TIMES PER DAY,float64,403507,"[33.0, 29.0, 3.0]"
ORNGDAY_,COMPUTED ORANGE-COLORED VEGETABLE INTAKE IN TIMES PER DAY,float64,402198,"[17.0, 29.0, 3.0]"
VEGEDA1_,COMPUTED OTHER VEGETABLE INTAKE IN TIMES PER  DAY,float64,399993,"[100.0, 13.0, 14.0]"
_MISFRTN,THE NUMBER OF MISSING FRUIT RESPONSES,float64,441456,"[0.0, 0.0, 2.0]"
_MISVEGN,THE NUMBER OF MISSING VEGETABLE RESPONSES,float64,441456,"[0.0, 0.0, 4.0]"
_FRTRESP,MISSING ANY FRUIT RESPONSES,float64,441456,"[1.0, 1.0, 0.0]"
_VEGRESP,MISSING ANY VEGETABLE RESPONSES,float64,441456,"[1.0, 1.0, 0.0]"
_FRUTSUM,TOTAL FRUITS CONSUMED PER DAY,float64,397745,"[50.0, 24.0, 100.0]"
_VEGESUM,TOTAL VEGETABLES CONSUMED PER DAY,float64,390339,"[217.0, 78.0, 20.0]"
_FRTLT1,CONSUME FRUIT 1 OR MORE TIMES PER DAY,float64,441456,"[2.0, 2.0, 9.0]"
_VEGLT1,CONSUME VEGETABLES 1 OR MORE TIMES PER DAY,float64,441456,"[1.0, 2.0, 9.0]"
_FRT16,REPORTED CONSUMING FRUIT >16/DAY,float64,441456,"[1.0, 1.0, 1.0]"
_VEG23,REPORTED CONSUMING VEGETABLES >23/DAY,float64,441456,"[1.0, 1.0, 1.0]"
_FRUITEX,FRUIT EXCLUSION FROM ANALYSES,float64,441456,"[0.0, 0.0, 1.0]"
_VEGETEX,VEGETABLE EXCLUSION FROM ANALYSES,float64,441456,"[0.0, 0.0, 1.0]"
_TOTINDA,LEISURE TIME PHYSICAL ACTIVITY CALCULATED VARIABLE,float64,441456,"[2.0, 1.0, 9.0]"
METVL11_,ACTIVITY MET VALUE FOR FIRST ACTIVITY,float64,294564,"[35.0, 50.0, 50.0]"
METVL21_,ACTIVITY MET VALUE FOR SECOND ACTIVITY,float64,289614,"[0.0, 33.0, 35.0]"
MAXVO2_,ESTIMATED AGE-GENDER SPECIFIC MAXIMUM OXYGEN CONSUMPTION,float64,441456,"[2469.0, 2876.0, 2173.0]"
FC60_,ESTIMATED FUNCTIONAL CAPACITY,float64,441456,"[423.00000000000006, 493.0, 373.0]"
ACTIN11_,ESTIMATED ACTIVITY INTENSITY FOR FIRST ACTIVITY,float64,291434,"[1.0, 2.0, 2.0]"
ACTIN21_,ESTIMATED ACTIVITY INTENSITY FOR SECOND ACTIVITY,float64,286584,"[0.0, 1.0, 1.0]"
PADUR1_,MINUTES OF FIRST ACTIVITY,float64,287716,"[60.0, 60.0, 60.0]"
PADUR2_,MINUTES OF SECOND ACTIVITY,float64,192327,"[60.0, 30.0, 15.0]"
PAFREQ1_,PHYSICAL ACTIVITY FREQUENCY PER WEEK FOR FIRST ACTIVITY,float64,291165,"[2800.0, 1000.0, 2000.0]"
PAFREQ2_,PHYSICAL ACTIVITY FREQUENCY PER WEEK FOR SECOND ACTIVITY,float64,194696,"[2800.0, 7000.0, 7000.0]"
_MINAC11,MINUTES OF PHYSICAL ACTIVITY PER WEEK FOR FIRST ACTIVITY,float64,285917,"[168.0, 60.0, 120.0]"
_MINAC21,MINUTES OF PHYSICAL ACTIVITY PER WEEK FOR SECOND ACTIVITY,float64,283654,"[0.0, 210.0, 105.0]"
STRFREQ_,STRENGTH ACTIVITY FREQUENCY PER WEEK,float64,397443,"[0.0, 0.0, 0.0]"
PAMISS1_,MISSING PHYSICAL ACTIVITY DATA,float64,441456,"[0.0, 0.0, 9.0]"
PAMIN11_,MINUTES OF PHYSICAL ACTIVITY PER WEEK FOR FIRST ACTIVITY,float64,282976,"[168.0, 120.0, 240.0]"
PAMIN21_,MINUTES OF PHYSICAL ACTIVITY PER WEEK FOR SECOND ACTIVITY,float64,280742,"[0.0, 210.0, 105.0]"
PA1MIN_,MINUTES OF TOTAL PHYSICAL ACTIVITY PER WEEK,float64,289037,"[168.0, 330.0, 345.0]"
PAVIG11_,MINUTES OF VIGOROUS PHYSICAL ACTIVITY PER WEEK FOR FIRST ACTIVITY,float64,287778,"[0.0, 60.0, 120.0]"
PAVIG21_,MINUTES OF VIGOROUSPHYSICAL ACTIVITY PER WEEK FOR SECOND ACTIVITY,float64,283415,"[0.0, 0.0, 0.0]"
PA1VIGM_,MINUTES OF TOTAL VIGOROUS PHYSICAL ACTIVITY PER WEEK,float64,290486,"[0.0, 60.0, 120.0]"
_PACAT1,PHYSICAL ACTIVITY CATEGORIES,float64,441456,"[4.0, 2.0, 9.0]"
_PAINDX1,PHYSICAL ACTIVITY INDEX,float64,441456,"[2.0, 1.0, 9.0]"
_PA150R2,150 MINUTE PHYSICAL ACTIVITY CALCULATED VARIABLE,float64,441456,"[3.0, 1.0, 9.0]"
_PA300R2,300 MINUTE PHYSICAL ACTIVITY CALCULATED VARIABLE,float64,441456,"[3.0, 2.0, 9.0]"
_PA30021,300 MINUTE PHYSICAL ACTIVITY 2-LEVEL CALCULATED VARIABLE,float64,441456,"[2.0, 2.0, 9.0]"
_PASTRNG,MUSCLE STRENGTHENING RECOMMENDATION,float64,441456,"[2.0, 2.0, 9.0]"
_PAREC1,AEROBIC AND STRENGTHENING GUIDELINE,float64,441456,"[4.0, 2.0, 9.0]"
_PASTAE1,AEROBIC AND STRENGTHENING (2-LEVEL),float64,441456,"[2.0, 2.0, 9.0]"
_LMTACT1,LIMITED USUAL ACTIVITIES,float64,438657,"[1.0, 3.0, 9.0]"
_LMTWRK1,LIMITED WORK ACTIVITIES,float64,438657,"[1.0, 3.0, 9.0]"
_LMTSCL1,LIMITED SOCIAL ACTIVITIES,float64,438657,"[1.0, 4.0, 9.0]"
_RFSEAT2,ALWAYS OR NEARLY ALWAYS WEAR SEAT BELTS,float64,441456,"[1.0, 2.0, 9.0]"
_RFSEAT3,ALWAYS WEAR SEAT BELTS,float64,441456,"[1.0, 2.0, 9.0]"
_FLSHOT6,FLU SHOT CALCULATED VARIABLE,float64,157954,"[9.0, 1.0, 2.0]"
_PNEUMO2,PNEUMONIA VACCINATION CALCULATED VARIABLE,float64,157954,"[9.0, 1.0, 1.0]"
_AIDTST3,EVER BEEN TESTED FOR HIV CALCULATED VARIABLE,float64,398069,"[1.0, 2.0, 9.0]"
